date,product_name,seller,actual_price,claimed_original_price,is_manipulation,real_old_price
2026-04-13,Adidas Running Shoes,ShoeCenter,59.4,59.4,False,60
2026-04-14,Adidas Running Shoes,ShoeCenter,60.0,60.0,False,60
2026-04-15,Adidas Running Shoes,ShoeCenter,60.0,60.0,False,60
2026-04-16,Adidas Running Shoes,ShoeCenter,59.4,59.4,False,60
2026-04-17,Adidas Running Shoes,ShoeCenter,59.4,59.4,False,60
2026-04-18,Adidas Running Shoes,ShoeCenter,60.0,60.0,False,60
2026-04-19,Adidas Running Shoes,ShoeCenter,60.0,60.0,False,60
2026-04-20,Adidas Running Shoes,ShoeCenter,60.0,60.0,False,60
2026-04-21,Adidas Running Shoes,ShoeCenter,60.0,60.0,False,60
2026-04-22,Adidas Running Shoes,ShoeCenter,60.0,60.0,False,60
2026-04-23,Adidas Running Shoes,ShoeCenter,59.4,59.4,False,60
2026-04-24,Adidas Running Shoes,ShoeCenter,60.0,60.0,False,60
2026-04-25,Adidas Running Shoes,ScamSeller_1,90.0,120.0,True,60
2026-04-26,Adidas Running Shoes,ScamSeller_1,90.0,120.0,True,60
2026-04-27,Adidas Running Shoes,ScamSeller_1,90.0,120.0,True,60
2026-04-28,Adidas Running Shoes,ScamSeller_1,90.0,120.0,True,60
2026-04-29,Adidas Running Shoes,ScamSeller_1,90.0,120.0,True,60
2026-04-30,Adidas Running Shoes,ScamSeller_1,90.0,120.0,True,60
2026-05-01,Adidas Running Shoes,ScamSeller_1,90.0,120.0,True,60
2026-05-02,Adidas Running Shoes,ShoeCenter,60.0,60.0,False,60
2026-05-03,Adidas Running Shoes,ShoeCenter,59.4,59.4,False,60
2026-05-04,Adidas Running Shoes,ShoeCenter,60.0,60.0,False,60
2026-05-05,Adidas Running Shoes,ShoeCenter,60.0,60.0,False,60
2026-05-06,Adidas Running Shoes,ShoeCenter,59.4,59.4,False,60
2026-05-07,Adidas Running Shoes,ShoeCenter,60.0,60.0,False,60
2026-05-08,Adidas Running Shoes,ShoeCenter,60.0,60.0,False,60
2026-05-09,Adidas Running Shoes,ShoeCenter,60.0,60.0,False,60
2026-04-10,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-04-11,New Balance Sneakers,UrbanKicks,85.85,85.85,False,85
2026-04-12,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-04-13,New Balance Sneakers,UrbanKicks,85.85,85.85,False,85
2026-04-14,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-04-15,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-04-16,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-04-17,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-04-18,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-04-19,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-04-20,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-04-21,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-04-22,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-04-23,New Balance Sneakers,UrbanKicks,85.85,85.85,False,85
2026-04-24,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-04-25,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-04-26,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-04-27,New Balance Sneakers,UrbanKicks,68.0,85.0,False,85
2026-04-28,New Balance Sneakers,UrbanKicks,68.0,85.0,False,85
2026-04-29,New Balance Sneakers,UrbanKicks,68.0,85.0,False,85
2026-04-30,New Balance Sneakers,UrbanKicks,68.0,85.0,False,85
2026-05-01,New Balance Sneakers,UrbanKicks,68.0,85.0,False,85
2026-05-02,New Balance Sneakers,UrbanKicks,68.0,85.0,False,85
2026-05-03,New Balance Sneakers,UrbanKicks,68.0,85.0,False,85
2026-05-04,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-05-05,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-05-06,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-05-07,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-05-08,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
2026-05-09,New Balance Sneakers,UrbanKicks,85.0,85.0,False,85
