product_name,reviewer_name,review_title,review_text,review_rating,verified_purchase,review_date,helpful_count
L'Oreal True Match Lumi Glotion,User_1150,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 23, 2025",36 people found this helpful
L'Oreal True Match Lumi Glotion,User_7292,Average glow lotion,"It does what it says, but I feel like I could get the same effect from mixing a liquid highlighter with my moisturizer.",3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on January 30, 2026",37 people found this helpful
L'Oreal True Match Lumi Glotion,User_1864,Holy grail product,I have repurchased this three times. It makes my skin look so healthy. Better than expensive high-end alternatives!,5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 08, 2025",
L'Oreal True Match Lumi Glotion,User_5003,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on April 28, 2026",
L'Oreal True Match Lumi Glotion,User_9565,It's okay,It gives a nice glow but it doesn't last all day. It tends to fade after a few hours on my oily skin.,3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on March 22, 2026",
L'Oreal True Match Lumi Glotion,User_8782,Absolutely love the glow!,"This glotion is amazing. It gives me such a natural, radiant glow without looking greasy. I use it under my foundation.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on June 15, 2025",37 people found this helpful
L'Oreal True Match Lumi Glotion,User_9957,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on January 26, 2026",13 people found this helpful
L'Oreal True Match Lumi Glotion,User_2451,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on October 03, 2025",
L'Oreal True Match Lumi Glotion,User_4930,It's okay,It gives a nice glow but it doesn't last all day. It tends to fade after a few hours on my oily skin.,3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on May 19, 2026",50 people found this helpful
L'Oreal True Match Lumi Glotion,User_6550,Perfect for no-makeup days,"When I don't want to wear foundation, I just put this on and it blurs imperfections while making my skin shine beautifully.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on August 05, 2025",8 people found this helpful
L'Oreal True Match Lumi Glotion,User_3074,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 18, 2025",19 people found this helpful
L'Oreal True Match Lumi Glotion,User_8072,Absolutely love the glow!,"This glotion is amazing. It gives me such a natural, radiant glow without looking greasy. I use it under my foundation.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on September 13, 2025",24 people found this helpful
L'Oreal True Match Lumi Glotion,User_9069,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on August 13, 2025",30 people found this helpful
L'Oreal True Match Lumi Glotion,User_4921,Holy grail product,I have repurchased this three times. It makes my skin look so healthy. Better than expensive high-end alternatives!,5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on November 29, 2025",29 people found this helpful
L'Oreal True Match Lumi Glotion,User_5670,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on August 23, 2025",41 people found this helpful
L'Oreal True Match Lumi Glotion,User_6883,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on March 11, 2026",26 people found this helpful
L'Oreal True Match Lumi Glotion,User_4315,Average glow lotion,"It does what it says, but I feel like I could get the same effect from mixing a liquid highlighter with my moisturizer.",3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on October 10, 2025",
L'Oreal True Match Lumi Glotion,User_8115,"Not bad, but not for me",The glow is a bit too sparkly for my taste. I was expecting a more natural dewy finish.,3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on March 11, 2026",
L'Oreal True Match Lumi Glotion,User_3302,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on May 15, 2026",
L'Oreal True Match Lumi Glotion,User_8749,Holy grail product,I have repurchased this three times. It makes my skin look so healthy. Better than expensive high-end alternatives!,5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on September 20, 2025",
L'Oreal True Match Lumi Glotion,User_4222,Greasy feeling,It just sat on top of my skin and felt very heavy and greasy. Did not blend well with my other skincare products.,2.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on January 05, 2026",11 people found this helpful
L'Oreal True Match Lumi Glotion,User_4141,Average glow lotion,"It does what it says, but I feel like I could get the same effect from mixing a liquid highlighter with my moisturizer.",3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 21, 2025",38 people found this helpful
L'Oreal True Match Lumi Glotion,User_8506,Absolutely love the glow!,"This glotion is amazing. It gives me such a natural, radiant glow without looking greasy. I use it under my foundation.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on October 03, 2025",11 people found this helpful
L'Oreal True Match Lumi Glotion,User_3663,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on June 24, 2025",27 people found this helpful
L'Oreal True Match Lumi Glotion,User_1340,Absolutely love the glow!,"This glotion is amazing. It gives me such a natural, radiant glow without looking greasy. I use it under my foundation.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on November 01, 2025",37 people found this helpful
L'Oreal True Match Lumi Glotion,User_3539,Perfect for no-makeup days,"When I don't want to wear foundation, I just put this on and it blurs imperfections while making my skin shine beautifully.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on August 27, 2025",36 people found this helpful
L'Oreal True Match Lumi Glotion,User_9728,Holy grail product,I have repurchased this three times. It makes my skin look so healthy. Better than expensive high-end alternatives!,5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on May 24, 2025",
L'Oreal True Match Lumi Glotion,User_9761,Too glittery,This isn't a 'natural glow'. It has visible chunks of glitter in it. I look like a disco ball. Returning it.,1.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on May 21, 2025",44 people found this helpful
L'Oreal True Match Lumi Glotion,User_9715,Absolutely love the glow!,"This glotion is amazing. It gives me such a natural, radiant glow without looking greasy. I use it under my foundation.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on February 17, 2026",
L'Oreal True Match Lumi Glotion,User_9685,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 07, 2025",47 people found this helpful
L'Oreal True Match Lumi Glotion,User_8389,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on April 27, 2026",7 people found this helpful
L'Oreal True Match Lumi Glotion,User_1379,Absolutely love the glow!,"This glotion is amazing. It gives me such a natural, radiant glow without looking greasy. I use it under my foundation.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on June 06, 2025",
L'Oreal True Match Lumi Glotion,User_7425,Perfect for no-makeup days,"When I don't want to wear foundation, I just put this on and it blurs imperfections while making my skin shine beautifully.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on August 09, 2025",14 people found this helpful
L'Oreal True Match Lumi Glotion,User_4982,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on March 17, 2026",49 people found this helpful
L'Oreal True Match Lumi Glotion,User_1277,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on November 01, 2025",42 people found this helpful
L'Oreal True Match Lumi Glotion,User_2736,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on June 01, 2025",
L'Oreal True Match Lumi Glotion,User_1338,Greasy feeling,It just sat on top of my skin and felt very heavy and greasy. Did not blend well with my other skincare products.,2.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 05, 2025",28 people found this helpful
L'Oreal True Match Lumi Glotion,User_9407,Absolutely love the glow!,"This glotion is amazing. It gives me such a natural, radiant glow without looking greasy. I use it under my foundation.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on March 15, 2026",10 people found this helpful
L'Oreal True Match Lumi Glotion,User_4212,"Not bad, but not for me",The glow is a bit too sparkly for my taste. I was expecting a more natural dewy finish.,3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on June 22, 2025",
L'Oreal True Match Lumi Glotion,User_6357,Average glow lotion,"It does what it says, but I feel like I could get the same effect from mixing a liquid highlighter with my moisturizer.",3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on February 09, 2026",23 people found this helpful
L'Oreal True Match Lumi Glotion,User_7607,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on September 12, 2025",
L'Oreal True Match Lumi Glotion,User_4952,It's okay,It gives a nice glow but it doesn't last all day. It tends to fade after a few hours on my oily skin.,3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on June 03, 2025",
L'Oreal True Match Lumi Glotion,User_9790,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on March 06, 2026",35 people found this helpful
L'Oreal True Match Lumi Glotion,User_9159,Absolutely love the glow!,"This glotion is amazing. It gives me such a natural, radiant glow without looking greasy. I use it under my foundation.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on August 23, 2025",
L'Oreal True Match Lumi Glotion,User_7587,"Not bad, but not for me",The glow is a bit too sparkly for my taste. I was expecting a more natural dewy finish.,3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on March 17, 2026",
L'Oreal True Match Lumi Glotion,User_5037,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on May 24, 2025",
L'Oreal True Match Lumi Glotion,User_1874,Perfect for no-makeup days,"When I don't want to wear foundation, I just put this on and it blurs imperfections while making my skin shine beautifully.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on March 25, 2026",18 people found this helpful
L'Oreal True Match Lumi Glotion,User_5615,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on May 23, 2025",
L'Oreal True Match Lumi Glotion,User_8659,Holy grail product,I have repurchased this three times. It makes my skin look so healthy. Better than expensive high-end alternatives!,5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on April 28, 2026",18 people found this helpful
L'Oreal True Match Lumi Glotion,User_1345,Perfect for no-makeup days,"When I don't want to wear foundation, I just put this on and it blurs imperfections while making my skin shine beautifully.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 03, 2025",
L'Oreal True Match Lumi Glotion,User_1596,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 19, 2025",13 people found this helpful
L'Oreal True Match Lumi Glotion,User_6228,"Not bad, but not for me",The glow is a bit too sparkly for my taste. I was expecting a more natural dewy finish.,3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on March 30, 2026",
L'Oreal True Match Lumi Glotion,User_8274,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on May 11, 2026",
L'Oreal True Match Lumi Glotion,User_3454,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on April 28, 2026",34 people found this helpful
L'Oreal True Match Lumi Glotion,User_9200,It's okay,It gives a nice glow but it doesn't last all day. It tends to fade after a few hours on my oily skin.,3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 17, 2025",
L'Oreal True Match Lumi Glotion,User_3746,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on March 25, 2026",32 people found this helpful
L'Oreal True Match Lumi Glotion,User_3729,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on November 14, 2025",
L'Oreal True Match Lumi Glotion,User_4287,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 30, 2025",31 people found this helpful
L'Oreal True Match Lumi Glotion,User_1214,Average glow lotion,"It does what it says, but I feel like I could get the same effect from mixing a liquid highlighter with my moisturizer.",3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 11, 2025",
L'Oreal True Match Lumi Glotion,User_3465,Absolutely love the glow!,"This glotion is amazing. It gives me such a natural, radiant glow without looking greasy. I use it under my foundation.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on May 15, 2026",
L'Oreal True Match Lumi Glotion,User_7121,Holy grail product,I have repurchased this three times. It makes my skin look so healthy. Better than expensive high-end alternatives!,5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on October 14, 2025",46 people found this helpful
L'Oreal True Match Lumi Glotion,User_2254,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on August 28, 2025",
L'Oreal True Match Lumi Glotion,User_1429,"Not bad, but not for me",The glow is a bit too sparkly for my taste. I was expecting a more natural dewy finish.,3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 03, 2025",
L'Oreal True Match Lumi Glotion,User_2816,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on February 03, 2026",42 people found this helpful
L'Oreal True Match Lumi Glotion,User_7261,Perfect for no-makeup days,"When I don't want to wear foundation, I just put this on and it blurs imperfections while making my skin shine beautifully.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 08, 2025",
L'Oreal True Match Lumi Glotion,User_4069,Holy grail product,I have repurchased this three times. It makes my skin look so healthy. Better than expensive high-end alternatives!,5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 12, 2025",
L'Oreal True Match Lumi Glotion,User_4073,"Not bad, but not for me",The glow is a bit too sparkly for my taste. I was expecting a more natural dewy finish.,3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on September 13, 2025",
L'Oreal True Match Lumi Glotion,User_2675,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on October 10, 2025",
L'Oreal True Match Lumi Glotion,User_8358,Perfect for no-makeup days,"When I don't want to wear foundation, I just put this on and it blurs imperfections while making my skin shine beautifully.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on February 15, 2026",34 people found this helpful
L'Oreal True Match Lumi Glotion,User_1975,It's okay,It gives a nice glow but it doesn't last all day. It tends to fade after a few hours on my oily skin.,3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on February 02, 2026",6 people found this helpful
L'Oreal True Match Lumi Glotion,User_5142,Average glow lotion,"It does what it says, but I feel like I could get the same effect from mixing a liquid highlighter with my moisturizer.",3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on August 03, 2025",
L'Oreal True Match Lumi Glotion,User_5873,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 22, 2025",
L'Oreal True Match Lumi Glotion,User_4787,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on April 01, 2026",25 people found this helpful
L'Oreal True Match Lumi Glotion,User_8226,Absolutely love the glow!,"This glotion is amazing. It gives me such a natural, radiant glow without looking greasy. I use it under my foundation.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on January 16, 2026",
L'Oreal True Match Lumi Glotion,User_6645,Absolutely love the glow!,"This glotion is amazing. It gives me such a natural, radiant glow without looking greasy. I use it under my foundation.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on June 17, 2025",43 people found this helpful
L'Oreal True Match Lumi Glotion,User_4542,Perfect for no-makeup days,"When I don't want to wear foundation, I just put this on and it blurs imperfections while making my skin shine beautifully.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 02, 2025",
L'Oreal True Match Lumi Glotion,User_4949,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on November 04, 2025",18 people found this helpful
L'Oreal True Match Lumi Glotion,User_3647,Absolutely love the glow!,"This glotion is amazing. It gives me such a natural, radiant glow without looking greasy. I use it under my foundation.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on October 14, 2025",
L'Oreal True Match Lumi Glotion,User_7557,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 27, 2025",44 people found this helpful
L'Oreal True Match Lumi Glotion,User_7071,Absolutely love the glow!,"This glotion is amazing. It gives me such a natural, radiant glow without looking greasy. I use it under my foundation.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on March 12, 2026",35 people found this helpful
L'Oreal True Match Lumi Glotion,User_6253,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 07, 2025",49 people found this helpful
L'Oreal True Match Lumi Glotion,User_2296,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on January 11, 2026",44 people found this helpful
L'Oreal True Match Lumi Glotion,User_2061,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on September 22, 2025",
L'Oreal True Match Lumi Glotion,User_1733,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on February 13, 2026",
L'Oreal True Match Lumi Glotion,User_3395,Perfect for no-makeup days,"When I don't want to wear foundation, I just put this on and it blurs imperfections while making my skin shine beautifully.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 18, 2025",
L'Oreal True Match Lumi Glotion,User_3902,"Not bad, but not for me",The glow is a bit too sparkly for my taste. I was expecting a more natural dewy finish.,3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 24, 2025",
L'Oreal True Match Lumi Glotion,User_7810,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on February 18, 2026",21 people found this helpful
L'Oreal True Match Lumi Glotion,User_4686,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on April 27, 2026",
L'Oreal True Match Lumi Glotion,User_5076,Absolutely love the glow!,"This glotion is amazing. It gives me such a natural, radiant glow without looking greasy. I use it under my foundation.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on January 06, 2026",
L'Oreal True Match Lumi Glotion,User_7881,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on January 16, 2026",50 people found this helpful
L'Oreal True Match Lumi Glotion,User_9150,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on April 19, 2026",
L'Oreal True Match Lumi Glotion,User_6001,Perfect for no-makeup days,"When I don't want to wear foundation, I just put this on and it blurs imperfections while making my skin shine beautifully.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on March 15, 2026",21 people found this helpful
L'Oreal True Match Lumi Glotion,User_8686,It's okay,It gives a nice glow but it doesn't last all day. It tends to fade after a few hours on my oily skin.,3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on February 13, 2026",9 people found this helpful
L'Oreal True Match Lumi Glotion,User_7810,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on June 19, 2025",20 people found this helpful
L'Oreal True Match Lumi Glotion,User_2370,Holy grail product,I have repurchased this three times. It makes my skin look so healthy. Better than expensive high-end alternatives!,5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on May 25, 2025",8 people found this helpful
L'Oreal True Match Lumi Glotion,User_6905,Absolutely love the glow!,"This glotion is amazing. It gives me such a natural, radiant glow without looking greasy. I use it under my foundation.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on August 20, 2025",14 people found this helpful
L'Oreal True Match Lumi Glotion,User_1251,Perfect for no-makeup days,"When I don't want to wear foundation, I just put this on and it blurs imperfections while making my skin shine beautifully.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on January 25, 2026",
L'Oreal True Match Lumi Glotion,User_8755,Perfect for no-makeup days,"When I don't want to wear foundation, I just put this on and it blurs imperfections while making my skin shine beautifully.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on September 25, 2025",41 people found this helpful
L'Oreal True Match Lumi Glotion,User_1557,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on September 04, 2025",22 people found this helpful
L'Oreal True Match Lumi Glotion,User_5129,It's okay,It gives a nice glow but it doesn't last all day. It tends to fade after a few hours on my oily skin.,3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 29, 2025",34 people found this helpful
L'Oreal True Match Lumi Glotion,User_6655,Perfect for no-makeup days,"When I don't want to wear foundation, I just put this on and it blurs imperfections while making my skin shine beautifully.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 06, 2025",
L'Oreal True Match Lumi Glotion,User_5915,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 16, 2025",
L'Oreal True Match Lumi Glotion,User_1318,"Very nice, subtle glow","It's a great product, easily blendable. Taking one star off because the tube is a bit small, but a little goes a long way.",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on August 26, 2025",28 people found this helpful
L'Oreal True Match Lumi Glotion,User_5827,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on September 04, 2025",10 people found this helpful
L'Oreal True Match Lumi Glotion,User_4421,Absolutely love the glow!,"This glotion is amazing. It gives me such a natural, radiant glow without looking greasy. I use it under my foundation.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on April 05, 2026",
L'Oreal True Match Lumi Glotion,User_4903,Perfect for no-makeup days,"When I don't want to wear foundation, I just put this on and it blurs imperfections while making my skin shine beautifully.",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on January 25, 2026",
L'Oreal True Match Lumi Glotion,User_2383,Average glow lotion,"It does what it says, but I feel like I could get the same effect from mixing a liquid highlighter with my moisturizer.",3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 08, 2025",
L'Oreal True Match Lumi Glotion,User_7455,Good product,I like how it looks on my skin. Doesn't cause breakouts for me. The color match is pretty decent.,4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on May 01, 2026",17 people found this helpful
L'Oreal True Match Lumi Glotion,User_4188,"Not bad, but not for me",The glow is a bit too sparkly for my taste. I was expecting a more natural dewy finish.,3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on January 28, 2026",
